Title;DOI;Decision
Antimicrobial effect of chitosan nanoparticles on Streptococcus mutans biofilms;10.1128/AEM.02941-10;exclude
A novel ionic amphiphilic chitosan derivative as a stabilizer of nanoemulsions: Improvement of antimicrobial activity of Cymbopogon citratus essential oil.;https://dx.doi.org/10.1016/j.colsurfb.2017.01.043;exclude
A potential photocatalytic, antimicrobial and anticancer activity of chitosan-copper nanocomposite.;https://dx.doi.org/10.1016/j.ijbiomac.2017.03.006;exclude
Alginate coated chitosan nanogel for the controlled topical delivery of Silver sulfadiazine.;https://dx.doi.org/10.1016/j.carbpol.2017.08.104;exclude
An investigation of electrospun Henna leaves extract-loaded chitosan based nanofibrous mats for skin tissue engineering.;https://dx.doi.org/10.1016/j.msec.2017.02.076;exclude
Anti-bacterial chitosan/zinc phthalocyanine fibers supported metallic and bimetallic nanoparticles for the removal of organic pollutants.;https://dx.doi.org/10.1016/j.carbpol.2017.05.074;exclude
Antibacterial activity and heavy metal removal efficiency of electrospun medium molecular weight chitosan/nylon-6 nanofibre membranes.;https://dx.doi.org/10.1088/1748-605X/aa9256;exclude
Antibacterial Properties of Chitosan Nanoparticles and Propolis Associated with Calcium Hydroxide against Single- and Multispecies Biofilms: An In Vitro and In Situ Study.;https://dx.doi.org/10.1016/j.joen.2017.03.017;exclude
AOT reverse micelles as versatile reaction media for chitosan nanoparticles synthesis.;https://dx.doi.org/10.1016/j.carbpol.2017.04.074;exclude
Bactericidal and catalytic performance of green nanocomposite based-on chitosan/carbon black fiber supported monometallic and bimetallic nanoparticles.;https://dx.doi.org/10.1016/j.chemosphere.2017.08.118;exclude
Bactericidal Effect of Gold-Chitosan Nanocomposites in Coculture Models of Pathogenic Bacteria and Human Macrophages.;https://dx.doi.org/10.1021/acsami.6b15123;exclude
Biocompatible Copper Oxide Nanoparticle Composites from Cellulose and Chitosan: Facile Synthesis, Unique Structure, and Antimicrobial Activity.;https://dx.doi.org/10.1021/acsami.7b11969;exclude
Biocompatible electrospinning chitosan nanofibers: A novel delivery system with superior local cancer therapy.;https://dx.doi.org/10.1016/j.carbpol.2016.12.011;exclude
Biological evaluation of silver nanoparticles incorporated into chitosan-based membranes.;https://dx.doi.org/10.2217/nnm-2017-0172;exclude
Catechol-Functional Chitosan/Silver Nanoparticle Composite as a Highly Effective Antibacterial Agent with Species-Specific Mechanisms.;https://dx.doi.org/10.1038/s41598-017-02008-4;exclude
Characterization of Chitosan/TiO2 Nano-Powder Modified Glass-Ionomer Cement for Restorative Dental Applications.;https://dx.doi.org/10.1111/jerd.12282;exclude
Chitosan Ascorbate Nanoparticles for the Vaginal Delivery of Antibiotic Drugs in Atrophic Vaginitis.;https://dx.doi.org/10.3390/md15100319;exclude
"Chitosan encapsulation of essential oil ""cocktails"" with well-defined binary Zn(II)-Schiff base species targeting antibacterial medicinal nanotechnology.";https://dx.doi.org/10.1016/j.jinorgbio.2017.07.018;exclude
